category,title,description,resource,region,statusWord,message
Storage Accounts,Storage Accounts HTTPS,Ensures HTTPS-only traffic is allowed to storage account endpoints,N/A,canadacentral,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,Ensures HTTPS-only traffic is allowed to storage account endpoints,N/A,canadaeast,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,Ensures HTTPS-only traffic is allowed to storage account endpoints,N/A,qatarcentral,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,Ensures HTTPS-only traffic is allowed to storage account endpoints,N/A,polandcentral,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,Ensures HTTPS-only traffic is allowed to storage account endpoints,N/A,italynorth,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,Ensures HTTPS-only traffic is allowed to storage account endpoints,N/A,israelcentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,eastus,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,eastus2,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,southcentralus,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,westus2,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,westus3,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,centralus,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,northcentralus,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,westus,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,eastus2euap,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,westcentralus,OK,No storage accounts found
